Image Path,Caption
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame10753_leftImg8bit.jpg,two women walk down a road near a tent
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame9454_leftImg8bit.jpg,a van is parked on the side of a street
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame2249_leftImg8bit.jpg,a street with a car driving down it
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame1364_leftImg8bit.jpg,a street with a red building in the background
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame2019_leftImg8bit.jpg,a red car is parked on the side of a street
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame10244_leftImg8bit.jpg,a road with a large rock in the middle of it
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame9204_leftImg8bit.jpg,a street with water in the middle of it
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame1544_leftImg8bit.jpg,a car is parked on the side of the road
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame9734_leftImg8bit.jpg,a street in india with a motorcycle parked on the side
/home/harshabommana/idd20kII/leftImg8bit/train/410/frame2474_leftImg8bit.jpg,a van is parked on the side of the road
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame1007_leftImg8bit.jpg,a street in a village with a motorcycle and a car
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame0731_leftImg8bit.jpg,a truck driving down a narrow street with buildings on both sides
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame0947_leftImg8bit.jpg,a horse drawn carriage is parked on the side of the road
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame0389_leftImg8bit.jpg,a street with many shops and motorcycles parked on it
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame0089_leftImg8bit.jpg,a man is walking down the street with a donkey
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame1427_leftImg8bit.jpg,a street in a village with a car parked on the side
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame2177_leftImg8bit.jpg,a man on a motorcycle is riding down a road
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame2417_leftImg8bit.jpg,a man riding a bike down a road in a rural area
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame1697_leftImg8bit.jpg,a street in a small town with a few buildings
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame1217_leftImg8bit.jpg,a man on a motorcycle rides down a street
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame2297_leftImg8bit.jpg,a man riding a bicycle down a road in a rural area
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame2567_leftImg8bit.jpg,a group of people walking down the street with a motorbike
/home/harshabommana/idd20kII/leftImg8bit/train/333/frame0557_leftImg8bit.jpg,a street with many motor cycles and motorcycles parked on it
/home/harshabommana/idd20kII/leftImg8bit/train/475/frame0524_leftImg8bit.jpg,a cow grazing on the side of the road
/home/harshabommana/idd20kII/leftImg8bit/train/475/frame0155_leftImg8bit.jpg,a long empty road with trees and bushes on either side
/home/harshabommana/idd20kII/leftImg8bit/train/475/frame0389_leftImg8bit.jpg,a long empty road with no trees or bushes
/home/harshabommana/idd20kII/leftImg8bit/train/475/frame0824_leftImg8bit.jpg,"a road with a sign that says ""no entry"""
/home/harshabommana/idd20kII/leftImg8bit/train/473/frame9457_leftImg8bit.jpg,a bus driving down a highway with a sign on it
/home/harshabommana/idd20kII/leftImg8bit/train/473/frame4108_leftImg8bit.jpg,a bus driving down a road with a few cars
/home/harshabommana/idd20kII/leftImg8bit/train/473/frame10080_leftImg8bit.jpg,a highway with a bridge over it and a motorcycle on it
/home/harshabommana/idd20kII/leftImg8bit/train/473/frame0517_leftImg8bit.jpg,a bus driving down the street with advertisements on it
/home/harshabommana/idd20kII/leftImg8bit/train/473/frame15299_leftImg8bit.jpg,a truck driving down a road with other vehicles
/home/harshabommana/idd20kII/leftImg8bit/train/473/frame1658_leftImg8bit.jpg,a busy street with many vehicles and people
/home/harshabommana/idd20kII/leftImg8bit/train/473/frame13242_leftImg8bit.jpg,a street with a few vehicles and buildings in the background
/home/harshabommana/idd20kII/leftImg8bit/train/473/frame15580_leftImg8bit.jpg,a truck driving down a road with a sign on it
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame3209_leftImg8bit.jpg,a view of a busy street with motorcycles and people
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame7289_leftImg8bit.jpg,a man riding a motorcycle down a road with palm trees
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame6779_leftImg8bit.jpg,a view of a road in india with people on motorcycles
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame7439_leftImg8bit.jpg,a man on a motorcycle is riding down a road with garbage and trash
/home/harshabommana/idd20kII/leftImg8bit/train/433/frame1859_leftImg8bit.jpg,a view of a busy street with cars and motorcycles
